Facility_Name,Facility_Type,Street_Address,Suburb,Postcode,LGA,Latitude,Longitude,Phone,Website,Services_Offered,Age_Groups,Operating_Hours,Places_Available,Accessibility,Last_Updated
Little Scholars Childcare Hurstville,Childcare Centre,45 Forest Road,Hurstville,2220,Georges River,-33.9658,151.1058,(02) 9570 5500,https://www.littlescholars.com.au,Long Day Care|Preschool Program|Holiday Care,6 weeks - 6 years,Mon-Fri 6:30-18:30,85,Wheelchair Accessible,2023-12-01
Kogarah Bay Early Learning Centre,Childcare Centre,18 Carwar Avenue,Carss Park,2221,Georges River,-33.9889,151.1178,(02) 9546 3300,https://www.kogarahbay.com.au,Long Day Care|Kindergarten|Before/After School Care,6 weeks - 12 years,Mon-Fri 6:00-19:00,120,Wheelchair Accessible,2023-12-01
Penshurst Little Learners,Childcare Centre,25 Penshurst Street,Penshurst,2222,Georges River,-33.9652,151.0912,(02) 9570 8800,https://www.penshurstlearners.com.au,Long Day Care|Preschool|Vacation Care,6 weeks - 6 years,Mon-Fri 6:30-18:30,95,Wheelchair Accessible,2023-12-01
Oatley West Kindergarten,Preschool,15 Mulga Road,Oatley,2223,Georges River,-33.9799,151.0766,(02) 9579 2200,https://www.oatleywestkinder.com.au,Preschool Program|Community Preschool,3-6 years,Mon-Fri 8:30-15:30,60,Wheelchair Accessible,2023-12-01
BaptistCare Hurstville Aged Care,Aged Care Facility,88 Woniora Road,Hurstville,2220,Georges River,-33.9698,151.1088,(02) 9570 9000,https://www.baptistcare.org.au,Residential Care|Respite Care|Dementia Care,65+,24/7,150 beds,Wheelchair Accessible,2023-12-01
Kogarah Aged Care Centre,Aged Care Facility,5 Belgrave Street,Kogarah,2217,Georges River,-33.9655,151.1344,(02) 9587 3300,https://www.kogarahagedcare.com.au,Residential Care|Day Care|Physiotherapy,65+,24/7,120 beds,Wheelchair Accessible,2023-12-01
Peakhurst Retirement Village,Retirement Village,12 Boundary Road,Peakhurst,2210,Georges River,-33.9577,151.0644,(02) 9533 4400,https://www.peakhurstvillage.com.au,Independent Living|Assisted Living|Community Activities,55+,24/7,200 units,Wheelchair Accessible,2023-12-01
Beverly Hills Family Day Care,Family Day Care,Multiple Locations,Beverly Hills,2209,Canterbury-Bankstown,-33.9489,151.0756,(02) 9750 5500,https://www.beverlyhillsfdc.com.au,Home-based Care|Flexible Hours|School Holiday Care,6 weeks - 12 years,Mon-Fri 6:00-19:00,Variable,Home-based,2023-12-01
Riverwood Community Childcare,Childcare Centre,267 Belmore Road,Riverwood,2210,Canterbury-Bankstown,-33.9499,151.0533,(02) 9718 2200,https://www.riverwoodchildcare.com.au,Long Day Care|Multicultural Programs|Family Support,6 weeks - 6 years,Mon-Fri 6:30-18:30,110,Wheelchair Accessible,2023-12-01
Mortdale Senior Citizens Centre,Senior Centre,2 Pitt Street,Mortdale,2223,Georges River,-33.9711,151.0733,(02) 9570 3300,https://www.georgesriver.nsw.gov.au,Senior Programs|Meals on Wheels|Social Activities|Health Checks,60+,Mon-Fri 9:00-15:00,N/A,Wheelchair Accessible,2023-12-01
